adoption_rate_per_1k_pop,log_adoption_rate_pop,total_capacity_kw_weighted,median_household_income,homeownership_rate,single_family_home_pct,pct_bachelors_or_higher,pct_white_non_hispanic,pct_black,pct_hispanic,avg_household_size,population_density,urbanicity,has_net_metering,has_solar_incentive,total_solar_programs,avg_daily_sunlight
0.0014931078143290571,-4.466007743770373,5.64,64589.0,63.717363737444735,71.23104457553417,35.93676101479785,47.94772330920471,42.32482859122291,5.241256360639289,2.41,602.537020710006,Suburban,0.0,1.0,12.0,16607.77
0.006912961779468296,-4.079674981824377,4.759524411839109,83534.0,77.4968141725594,80.1503897716559,30.391300896896578,73.5166438922818,12.589122210137853,7.236676984857358,2.61,190.9411363781585,Rural,0.0,1.0,12.0,16159.39
0.0006454336954691455,-4.542624239759791,1.6404755881608903,83528.0,68.77681280736633,74.13584875421415,45.690290909491154,62.32188046885819,23.96162514006572,6.533798330542511,2.37,495.4266581171205,Suburban,0.0,1.0,12.0,16049.5
1.080947383020293,0.08704647747553569,426.8735845195689,40338.0,79.13302999168256,70.64928795558774,15.26852353259718,18.585566382460414,0.9470158343483557,6.23020706455542,3.14,5.8651691553897445,Rural,1.0,1.0,62.0,18657.88
16.532900251430277,2.8059570219524828,13889.504581305122,58970.0,70.50083207861162,68.7415700026976,27.657715188384362,54.57125093656842,3.23215737537662,34.335793652058854,2.37,20.203022192277025,Rural,1.0,1.0,62.0,20240.65
18.888603542179048,2.93908803267865,18888.55086247907,69748.0,58.84381641251258,64.00646573304533,39.61938901319695,52.462960530409354,1.472591138181592,15.23336767074798,2.45,7.76967391144367,Rural,1.0,1.0,62.0,18883.02
33.62620061182962,3.5156028861528186,14307.403887196804,59089.0,77.16853739302456,73.31514073710676,18.847188995215312,62.00335758254057,0.5931729155008394,17.774668905055027,2.25,11.268338637853125,Rural,1.0,1.0,62.0,19891.99
0.1487103081769834,-1.8406746997029557,38.31999053030303,67326.0,73.53932584269664,75.94146761351409,14.591321897073664,53.05455481214617,1.2789500772002058,30.2856407617087,2.87,8.407839498974118,Rural,1.0,1.0,62.0,20165.5
0.8463817181548878,-0.15503906981477505,42.35,75239.0,55.807200929152145,71.82270465852555,20.414593698175786,45.91620820990266,1.4705882352941175,46.50867541261109,2.72,5.129045526519423,Rural,1.0,1.0,62.0,19866.1
30.111412225233362,3.405236288460483,4399.069,49506.0,70.4287161021717,37.14934446641764,13.855103120042306,57.81993375489311,0.30111412225233364,25.474254742547426,1.85,3.6928073542130586,Rural,1.0,1.0,62.0,20493.13
41.039365027436354,3.71477536750685,1628681.298381512,85518.0,65.0130026830185,69.81271429204338,35.858005799892254,53.37203780865794,5.488350700925893,30.893232772044975,2.61,488.15248745492295,Suburban,1.0,1.0,62.0,20428.94
46.51825958973416,3.8400598611108907,99629.53600000001,55799.0,73.63027482223758,64.7119814704874,14.88545563987867,75.59700119584215,1.105234109097599,16.693496458467482,2.2,16.307987696177584,Rural,1.0,1.0,62.0,19423.92
12.442015604974424,2.5218825057888576,10715.04102295102,52752.0,72.74259018151183,73.95954061742704,17.631494659443803,42.42463617463618,1.0645604395604396,10.641891891891891,2.68,10.82909559603646,Rural,1.0,1.0,62.0,18856.02
51.991404034184264,3.951270718874306,493052.9361056984,67929.0,64.80897520680332,67.04369996087324,35.870627429205996,51.234586126728296,3.2855944157181267,36.14925324802109,2.37,114.26523256923761,Rural,1.0,1.0,62.0,20460.15
40.880899552605094,3.7109075334646033,147165.53203412797,77588.0,80.52394190581006,77.63995529881409,22.150215809205758,55.87697759889942,4.857986861642095,29.333354110133364,2.74,83.70533613854846,Rural,1.0,1.0,62.0,20279.64
27.926456306077746,3.32993251350424,11118.62563626768,53614.0,68.37535680304472,78.30183713217876,24.069518545733363,15.260635980833454,0.2012072434607646,82.71277147420606,2.85,38.99584229854561,Rural,1.0,1.0,62.0,20192.74
69.60541435507763,4.242986013438308,125107.07663327405,66106.0,73.51147842056933,70.43424277605779,29.602252541267426,78.31297381401662,0.5574039130002979,14.990316813983515,2.18,29.7498489461687,Rural,1.0,1.0,62.0,19754.84
69.33972229443195,4.23916214234665,120980.92636516853,60417.0,70.02327607505559,58.15659469358204,16.671988356637385,29.607338035967935,1.556684401858584,64.3970435996822,2.6,37.66626404198904,Rural,1.0,1.0,62.0,20443.62
0.023506868031549104,-3.3960048452968596,3.4777588512295794,48427.0,74.95982166001347,77.81135049921177,18.74863948751438,91.6393831553974,0.37722419928825623,2.7449584816132857,2.16,76.0925097169142,Rural,1.0,1.0,10.0,16232.29
0.02028827721775316,-3.49699453183145,36.50599675266476,89879.0,67.20350710988511,79.8642992168512,36.60753298960063,61.11067729110719,1.7783602282874031,18.12582968075752,2.71,347.44548106538264,Suburban,1.0,1.0,10.0,16196.16
0.05224200088344218,-2.7767252517585175,14.501762989633125,54195.0,70.29280462184873,79.44811727507904,16.310321463524808,92.84884948279502,0.27179649567236647,2.955457040320878,2.46,64.26067831846477,Rural,1.0,1.0,10.0,16162.88
0.1398913337192558,-1.8978446892923237,17.557716917153698,55187.0,77.67873221681974,77.61569416498993,21.117829228727324,70.5076070952815,0.1893009885718292,15.505153193577788,2.54,45.28454045541713,Rural,1.0,1.0,10.0,16149.25
0.10003000900270081,-2.207002141279899,1.8,39683.0,67.3896402143404,75.24442706296442,17.228034972051024,38.401520456136836,53.39601880564169,6.2818845653696105,2.36,15.694419587489678,Rural,1.0,1.0,10.0,17064.76
